level,scene,player_instance,flags_antes,action,runtime_smoke_depois
L057,scenes/levels/Linha_13.tscn,Koliani parent=.,canonical,none,OK
L058,scenes/levels/Fabrica_dos_Homunculos.tscn,Koliani parent=.,canonical,none,OK
L059,scenes/levels/Torre_Electrica.tscn,Koliani parent=.,canonical,none,OK
L060,scenes/levels/Coracao_da_Maquina.tscn,Koliani parent=.,canonical,none,OK
L061,scenes/levels/Ilhas_Flutuantes.tscn,Koliani parent=.,canonical,none,OK
L062,scenes/levels/Templo_do_Trovao.tscn,Koliani parent=.,canonical,none,OK
L063,scenes/levels/Cidade_dos_Anjos_Mortos.tscn,Koliani parent=.,canonical,none,OK
L064,scenes/levels/Lua_Quebrada.tscn,Koliani parent=.,canonical,none,OK
L065,scenes/levels/O_Fim_do_Ceu.tscn,Koliani parent=.,canonical,none,OK
L066,scenes/levels/Vila_dos_Sonhos.tscn,Koliani parent=.,canonical,none,OK
L067,scenes/levels/Mundo_Invertido.tscn,Koliani parent=.,canonical,none,OK
L068,scenes/levels/Quarto_das_Criancas_Mortas.tscn,Koliani parent=.,canonical,none,OK
L069,scenes/levels/Pesadelo.tscn,Koliani parent=.,canonical,none,OK
L070,scenes/levels/A_Mente.tscn,Koliani parent=.,canonical,none,OK
L071,scenes/levels/Avenida_dos_Mortos.tscn,Koliani parent=.,canonical,none,OK
L072,scenes/levels/Cemiterio_Infinito.tscn,Koliani parent=.,canonical,none,OK
L073,scenes/levels/Catedral_Fantasma.tscn,Koliani parent=.,canonical,none,OK
L074,scenes/levels/Palacio_dos_Reis_Mortos.tscn,Koliani parent=.,canonical,none,OK
L075,scenes/levels/Trono_da_Morte.tscn,Koliani parent=.,canonical,none,OK
L076,scenes/levels/Margem_do_Sangue.tscn,Koliani parent=.,canonical,none,OK
L077,scenes/levels/Serpentes_do_Mar.tscn,Koliani parent=.,canonical,none,OK
L078,scenes/levels/Navio_da_Condenacao.tscn,Koliani parent=.,canonical,none,OK
L079,scenes/levels/Fortaleza_Kraken.tscn,Koliani parent=.,canonical,none,OK
L080,scenes/levels/Coracao_Vermelho.tscn,Koliani parent=.,canonical,none,OK
L081,scenes/levels/Portao_Infernal.tscn,Koliani parent=.,canonical,none,OK
L082,scenes/levels/Cidade_dos_Demonios.tscn,Koliani parent=.,canonical,none,OK
L083,scenes/levels/Rio_das_Almas.tscn,Koliani parent=.,canonical,none,OK
L084,scenes/levels/Palacio_de_Sangue.tscn,Koliani parent=.,canonical,none,OK
L085,scenes/levels/Trono_Infernal.tscn,Koliani parent=.,canonical,none,OK
L086,scenes/levels/Primeiro_Vazio.tscn,Koliani parent=.,canonical,none,OK
L087,scenes/levels/Segundo_Vazio.tscn,Koliani parent=.,canonical,none,OK
L088,scenes/levels/Labirinto_Impossivel.tscn,Koliani parent=.,canonical,none,OK
L089,scenes/levels/A_Coisa_Atras_do_Mundo.tscn,Koliani parent=.,canonical,none,OK
L090,scenes/levels/Centro_do_Vazio.tscn,Koliani parent=.,canonical,none,OK
L091,scenes/levels/Campo_de_Batalha.tscn,Koliani parent=.,canonical,none,OK
L092,scenes/levels/Ceu_em_Guerra.tscn,Koliani parent=.,canonical,none,OK
L093,scenes/levels/Cerco_ao_Castelo.tscn,Koliani parent=.,canonical,none,OK
L094,scenes/levels/Torre_da_Corrupcao.tscn,Koliani parent=.,canonical,none,OK
L095,scenes/levels/Os_Cem_Guerreiros.tscn,Koliani parent=.,canonical,none,OK
L096,scenes/levels/O_Reino_Antes_da_Corrupcao.tscn,Koliani parent=.,canonical,none,OK
L097,scenes/levels/O_Primeiro_Castelo.tscn,Koliani parent=.,canonical,none,OK
L098,scenes/levels/O_Coracao_de_Zeriko.tscn,Koliani parent=.,canonical,none,OK
L099,scenes/levels/O_Fim_de_Tudo.tscn,Koliani parent=.,canonical,none,OK
L100,scenes/levels/O_Ultimo_Salto.tscn,Koliani parent=.,canonical,none,OK
